epoch,step,d_loss,g_loss
1,0,0.707947,1.535542
1,1,0.450256,1.850287
1,2,0.369499,2.537038
1,3,0.262029,3.199962
1,4,0.195738,3.669423
1,5,0.143909,4.460049
1,6,0.103805,4.980707
1,7,0.085320,4.765800
1,8,0.067353,5.387896
1,9,0.036006,5.750496
1,10,0.035226,5.689171
1,11,0.022998,5.847406
1,12,0.017843,5.758995
1,13,0.017778,5.647859
1,14,0.037795,6.991686
1,15,0.026797,5.964133
1,16,0.017904,5.866882
1,17,0.016772,6.115435
1,18,0.010168,6.593480
1,19,0.008335,6.499716
1,20,0.007940,6.152294
1,21,0.010393,5.656075
1,22,0.014273,7.155795
1,23,0.007099,7.287645
1,24,0.006833,6.342751
1,25,0.010468,6.324767
1,26,0.004806,6.960390
1,27,0.007079,6.420211
1,28,0.008326,6.415097
1,29,0.009634,6.629006
1,30,0.007556,6.506400
1,31,0.007649,6.959259
1,32,0.006408,6.565225
1,33,0.007575,6.255352
1,34,0.006427,7.466681
1,35,0.004310,7.229212
1,36,0.005144,6.199942
1,37,0.005759,6.717280
1,38,0.002874,7.368909
1,39,0.008066,5.440479
1,40,0.008446,8.911645
1,41,0.004729,8.906343
1,42,0.003081,7.442247
1,43,0.002555,6.306156
1,44,0.003254,7.688273
1,45,0.001736,8.134891
1,46,0.001684,7.924695
1,47,0.001826,7.264139
1,48,0.000909,7.047451
1,49,0.001188,7.156160
1,50,0.001110,7.354979
1,51,0.001162,7.368752
1,52,0.001920,7.264002
1,53,0.001639,7.441924
1,54,0.005405,5.926956
1,55,0.002854,7.312603
1,56,0.001262,7.930824
1,57,0.000586,8.259041
1,58,0.000615,8.014071
1,59,0.000693,7.664855
1,60,0.000896,7.481322
1,61,0.000934,7.304484
1,62,0.001576,7.232480
1,63,0.001461,7.525252
1,64,0.000836,7.605832
1,65,0.001179,7.384410
1,66,0.001607,7.150802
1,67,0.021227,15.153026
1,68,0.501527,0.046096
1,69,1.767530,20.973425
1,70,0.000007,26.284016
1,71,0.000303,27.193319
1,72,0.006628,23.819952
1,73,0.012256,17.089058
1,74,0.002049,10.858671
1,75,0.047564,11.693689
1,76,0.012084,11.089106
1,77,0.038786,7.305104
1,78,0.061249,12.208442
1,79,0.077183,10.952763
1,80,0.030864,7.343734
1,81,0.019776,8.411933
1,82,0.049430,13.678447
1,83,0.029084,14.589314
1,84,0.005664,13.649684
1,85,0.032074,12.420799
1,86,0.010447,11.532874
1,87,0.002377,9.002052
1,88,0.001793,6.524158
1,89,0.311064,23.638561
1,90,0.046402,29.318008
1,91,0.109985,30.633110
1,92,0.030749,30.911200
1,93,0.012179,30.829113
1,94,0.000047,30.664761
1,95,0.000118,30.441278
1,96,0.000015,30.121113
1,97,0.000030,29.646133
1,98,0.000024,28.909346
1,99,0.000028,27.533886
1,100,0.000022,24.304871
1,101,0.000020,19.780760
1,102,0.000418,14.998426
1,103,0.000051,10.639039
1,104,0.000766,6.710273
1,105,0.076693,15.309375
1,106,0.000213,16.386829
1,107,0.001543,14.309769
1,108,0.003062,13.283457
1,109,0.001567,11.205146
1,110,0.004626,9.238184
1,111,0.002328,6.581238
1,112,0.027490,8.704442
1,113,0.008200,9.136242
1,114,0.002656,7.969714
1,115,0.251355,25.282116
1,116,0.877142,24.432280
1,117,0.000219,21.407452
1,118,0.000017,16.694904
1,119,0.000007,11.078863
1,120,0.008214,5.843551
1,121,0.411859,28.116165
1,122,0.050743,33.998730
1,123,0.134451,35.304619
1,124,0.026537,35.623432
1,125,0.066293,35.170078
1,126,0.003446,34.903809
1,127,0.001667,34.715351
1,128,0.000402,34.664215
1,129,0.000908,34.632301
1,130,0.006593,34.480190
1,131,0.000070,34.430737
1,132,0.000150,34.372276
1,133,0.000076,34.417717
1,134,0.000152,34.378799
1,135,0.002201,34.329102
1,136,0.000116,34.311569
1,137,0.004610,34.186378
1,138,0.000161,34.180756
1,139,0.000074,34.179741
1,140,0.008372,34.018150
1,141,0.000076,34.026077
1,142,0.000056,33.995365
1,143,0.000196,33.953560
1,144,0.000420,33.928291
1,145,0.000056,33.929520
1,146,0.000016,33.941814
1,147,0.000239,33.898407
1,148,0.000025,33.859455
1,149,0.000014,33.895008
1,150,0.000054,33.874447
1,151,0.000075,33.866535
1,152,0.000055,33.887108
1,153,0.000103,33.870216
1,154,0.000025,33.862251
1,155,0.000047,33.860504
1,156,0.000131,33.771297
1,157,0.000034,33.861034
1,158,0.000457,33.805412
1,159,0.000064,33.793476
1,160,0.000103,33.803802
1,161,0.000073,33.778873
1,162,0.000028,33.799091
1,163,0.000073,33.787407
1,164,0.000047,33.797401
1,165,0.000137,33.808460
1,166,0.000380,33.724438
1,167,0.006118,33.668686
1,168,0.000030,33.623489
1,169,0.000025,33.580414
1,170,0.000056,33.535789
1,171,0.000059,33.526375
1,172,0.000054,33.504498
1,173,0.000054,33.492233
1,174,0.000103,33.501171
1,175,0.000025,33.511177
1,176,0.000163,33.454468
1,177,0.000009,33.472107
1,178,0.000093,33.463364
1,179,0.000007,33.438938
1,180,0.000293,33.442017
1,181,0.012425,33.278088
1,182,0.000015,33.166916
1,183,0.000118,33.151722
1,184,0.000175,33.081108
1,185,0.000021,33.074982
1,186,0.000005,33.058048
1,187,0.000038,33.010963
1,188,0.000078,33.013454
1,189,0.000008,32.974644
1,190,0.000142,32.985512
1,191,0.000017,32.943783
1,192,0.000007,32.891300
1,193,0.000013,32.902824
1,194,0.000010,32.891434
1,195,0.000039,32.802254
1,196,0.000012,32.822647
1,197,0.000007,32.804394
1,198,0.000169,32.750256
1,199,0.000028,32.770050
1,200,0.000033,32.734108
1,201,0.000085,32.668343
1,202,0.000009,32.641525
1,203,0.000028,32.620171
1,204,0.000011,32.562782
1,205,0.000013,32.527740
1,206,0.000130,32.466137
1,207,0.000091,32.434761
1,208,0.000273,32.398403
1,209,0.000068,32.333160
1,210,0.000007,32.214283
1,211,0.000059,32.169956
1,212,0.000004,32.088772
1,213,0.000015,32.008324
1,214,0.000180,31.954906
1,215,0.000025,31.860041
1,216,0.000014,31.748472
1,217,0.000006,31.626591
1,218,0.000024,31.522186
1,219,0.000029,31.379997
1,220,0.000046,31.177362
1,221,0.000251,30.957216
1,222,0.000031,30.706783
1,223,0.000064,30.369743
1,224,0.000008,29.909725
1,225,0.000049,29.205042
1,226,0.000012,27.602955
1,227,0.000011,21.397747
1,228,0.000011,11.187845
1,229,0.004962,6.393270
1,230,0.836459,33.354755
1,231,0.475642,38.745544
1,232,0.166397,39.898483
1,233,0.002853,40.225529
1,234,0.000232,40.404957
1,235,0.000034,40.477066
1,236,0.000020,40.485687
1,237,0.000052,40.464577
1,238,0.000158,40.493214
1,239,0.000034,40.524826
1,240,0.000006,40.502098
1,241,0.000098,40.495785
1,242,0.000070,40.458744
1,243,0.000103,40.499718
1,244,0.000072,40.537403
1,245,0.000084,40.438274
1,246,0.000934,40.468170
1,247,0.000076,40.500481
1,248,0.005569,40.333244
1,249,0.001067,40.439713
1,250,0.000043,40.397804
1,251,0.000082,40.386909
1,252,0.000027,40.360611
1,253,0.000184,40.310677
1,254,0.000024,40.327457
1,255,0.000048,40.372906
1,256,0.000057,40.320061
1,257,0.000007,40.340763
1,258,0.000009,40.335312
1,259,0.000283,40.353859
1,260,0.000049,40.339172
1,261,0.000173,40.382645
1,262,0.000664,40.341141
1,263,0.000028,40.342297
1,264,0.000011,40.338516
1,265,0.000077,40.306477
1,266,0.000006,40.304638
1,267,0.000032,40.342640
1,268,0.000078,40.326916
1,269,0.000017,40.264973
1,270,0.000006,40.277550
1,271,0.000007,40.322559
1,272,0.000085,40.274597
1,273,0.000774,40.372658
1,274,0.000050,40.336231
1,275,0.000136,40.300880
